file,type,count,distinct_retired_ids,retired_ids,lines_also_naming_an_in_service_module
server/tools/test_run20_b21_dst_lineage.py,test suite,34,2,A1.1 B2.1,0
code_audit/run28_v3_structure_key_reconciliation.csv,per-module audit rows (committed artifact),33,7,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.8,7
server/tools/test_run32_closure_version_boundary.py,test suite,33,6,A1.1 B4.1 B4.2 B4.5 B4.6 B4.7,1
REPORT_2026-08-12_run14-targeted-remediation-anomaly-validation-disabled-method-tests.md,documentation / report prose,31,12,A2.11 A3.4 A3.8 B2.19 B2.20 B2.7 B2.9 B4.1 B4.2 B4.5 B4.6 D1.1,3
server/tools/build_run36_audit.py,audit-artifact generator / tool,31,7,A1.1 A3.4 A3.8 B4.1 B4.2 B4.5 B4.6,3
REPORT_2026-08-14_run28-cat1-3-canonical-remediation-v3.md,documentation / report prose,29,9,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A3.8 B2.9,6
REPORT_2026-08-21_run43_module_retirement.md,documentation / report prose,29,16,A1.1 A3.4 A3.8 B2.19 B2.20 B2.7 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7 D1.1 D1.2 D1.4 D1.5,1
server/tools/test_run10b_canonical_integration.py,test suite,29,2,A1.1 B2.19,1
server/tools/test_run20_cycle12_lineage_and_guards.py,test suite,29,11,A1.1 A3.4 A3.8 B2.20 B2.7 B2.9 B4.1 B4.2 B4.5 B4.6 D1.5,3
server/tools/run32_fault_campaign.py,audit-artifact generator / tool,28,6,B2.19 B4.1 B4.2 B4.5 B4.6 B4.7,0
server/app/simulation/registry.py,simulation source (formula/registry/canonical),27,16,A1.1 A2.4 A2.6 A3.4 A3.8 A5.3 B2.10 B2.17 B2.20 B2.7 B2.9 B4.1 B4.2 B4.5 B4.6 D1.2,2
REPORT_2026-08-10_run1-disable-and-relabel.md,documentation / report prose,26,10,A3.8 B2.1 B2.20 B2.7 B2.9 B4.1 B4.2 B4.5 B4.6 B4.7,1
REPORT_2026-08-11_run8-retest-and-classify-27.md,documentation / report prose,26,5,A1.1 A2.10 A2.11 A2.5 B2.19,10
server/tools/test_run19_category_2.py,test suite,26,5,A2.10 A2.11 A2.4 A2.5 A2.6,1
code_audit/run13_mutation_proof.csv,per-module audit rows (committed artifact),25,25,A1.1 A2.10 A2.11 A2.4 A2.5 A2.6 A3.4 A5.3 B2.1 B2.10 B2.11 B2.12 B2.13 B2.14 B2.15 B2.16 B2.17 B2.19 B2.2 B2.3 B2.4 B2.5 B2.6 B2.8 B4.7,0
